
Timeframe & Parameter Performance (sorted by total return):
|      | start               | end                 |   lookback |   z_enter |   z_exit |   max_holding |   total_return |       sharpe |            max_dd | pair      |
| 5995 | 2022-03-21 00:00:00 | 2023-03-21 00:00:00 |         10 |       2.5 |      1   |             5 |    0           | nan          |       0           | AAPL,SHEL |
| 5996 | 2022-03-21 00:00:00 | 2023-03-21 00:00:00 |         10 |       2.5 |      1   |            10 |    0           | nan          |       0           | AAPL,SHEL |
| 5997 | 2022-05-20 00:00:00 | 2023-05-20 00:00:00 |         10 |       2.5 |      1   |            20 |    0           | nan          |       0           | AAPL,SHEL |
| 5998 | 2022-05-20 00:00:00 | 2023-05-20 00:00:00 |         10 |       2.5 |      1   |            10 |    0           | nan          |       0           | AAPL,SHEL |
| 5999 | 2022-05-20 00:00:00 | 2023-05-20 00:00:00 |         10 |       2.5 |      1   |             5 |    0           | nan          |       0           | AAPL,SHEL |
| 6000 | 2022-05-20 00:00:00 | 2023-05-20 00:00:00 |         10 |       2.5 |      0.5 |            20 |    0           | nan          |       0           | AAPL,SHEL |
| 6001 | 2022-05-20 00:00:00 | 2023-05-20 00:00:00 |         10 |       2.5 |      0.5 |            10 |    0           | nan          |       0           | AAPL,SHEL |
| 6002 | 2022-05-20 00:00:00 | 2023-05-20 00:00:00 |         10 |       2.5 |      0.5 |             5 |    0           | nan          |       0           | AAPL,SHEL |
| 6003 | 2022-03-21 00:00:00 | 2023-03-21 00:00:00 |         10 |       2.5 |      1   |            20 |    0           | nan          |       0           | AAPL,SHEL |
| 6004 | 2024-01-10 00:00:00 | 2025-01-09 00:00:00 |         10 |       2.5 |      1   |            20 |    0           | nan          |       0           | AAPL,SHEL |
| 6005 | 2024-01-10 00:00:00 | 2025-01-09 00:00:00 |         10 |       2.5 |      1   |            10 |    0           | nan          |       0           | AAPL,SHEL |
| 6006 | 2022-04-20 00:00:00 | 2023-04-20 00:00:00 |         10 |       2.5 |      0.5 |             5 |    0           | nan          |       0           | AAPL,SHEL |
| 6007 | 2022-04-20 00:00:00 | 2023-04-20 00:00:00 |         10 |       2.5 |      0.5 |            10 |    0           | nan          |       0           | AAPL,SHEL |
| 6008 | 2022-04-20 00:00:00 | 2023-04-20 00:00:00 |         10 |       2.5 |      0.5 |            20 |    0           | nan          |       0           | AAPL,SHEL |
| 6009 | 2022-04-20 00:00:00 | 2023-04-20 00:00:00 |         10 |       2.5 |      1   |             5 |    0           | nan          |       0           | AAPL,SHEL |
| 6010 | 2024-01-10 00:00:00 | 2025-01-09 00:00:00 |         10 |       2.5 |      0.5 |             5 |    0           | nan          |       0           | AAPL,SHEL |
| 6011 | 2024-01-10 00:00:00 | 2025-01-09 00:00:00 |         10 |       2.5 |      0.5 |            10 |    0           | nan          |       0           | AAPL,SHEL |
| 5984 | 2022-11-16 00:00:00 | 2023-11-16 00:00:00 |         10 |       2.5 |      1   |            10 |    0           | nan          |       0           | AAPL,SHEL |
| 5982 | 2024-02-09 00:00:00 | 2025-02-08 00:00:00 |         10 |       2.5 |      1   |            10 |    0           | nan          |       0           | AAPL,SHEL |
| 6013 | 2022-02-19 00:00:00 | 2023-02-19 00:00:00 |         10 |       2.5 |      1   |            20 |    0           | nan          |       0           | AAPL,SHEL |
| 5981 | 2022-11-16 00:00:00 | 2023-11-16 00:00:00 |         10 |       2.5 |      1   |            20 |    0           | nan          |       0           | AAPL,SHEL |
| 5954 | 2024-02-09 00:00:00 | 2025-02-08 00:00:00 |         10 |       2.5 |      0.5 |            10 |    0           | nan          |       0           | AAPL,SHEL |
| 5955 | 2024-02-09 00:00:00 | 2025-02-08 00:00:00 |         10 |       2.5 |      0.5 |             5 |    0           | nan          |       0           | AAPL,SHEL |
| 5956 | 2022-01-20 00:00:00 | 2023-01-20 00:00:00 |         10 |       2.5 |      0.5 |             5 |    0           | nan          |       0           | AAPL,SHEL |
| 5957 | 2022-01-20 00:00:00 | 2023-01-20 00:00:00 |         10 |       2.5 |      0.5 |            10 |    0           | nan          |       0           | AAPL,SHEL |
| 5958 | 2022-08-18 00:00:00 | 2023-08-18 00:00:00 |         10 |       2.5 |      1   |            20 |    0           | nan          |       0           | AAPL,SHEL |
| 5959 | 2022-08-18 00:00:00 | 2023-08-18 00:00:00 |         10 |       2.5 |      1   |            10 |    0           | nan          |       0           | AAPL,SHEL |
| 5960 | 2022-08-18 00:00:00 | 2023-08-18 00:00:00 |         10 |       2.5 |      1   |             5 |    0           | nan          |       0           | AAPL,SHEL |
| 5961 | 2022-08-18 00:00:00 | 2023-08-18 00:00:00 |         10 |       2.5 |      0.5 |            20 |    0           | nan          |       0           | AAPL,SHEL |
